Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands,Defaulter_Flag
167411,23,5,1,F,Single,360.1011196,1
193035,50,33,1,F,Single,431.1665527,1
103444,56,38,1,M,Married,335.5032735,1
142297,17,0,1,M,Married,469.8951722,1
140560,66,46,1,F,Married,259.3302137,0
111639,20,2,1,M,Single,1155.570126,1
156912,61,40,1,F,Married,275.8448446,0
131225,65,46,1,M,Married,65.67824927,0
153270,30,12,1,M,Married,204.6908311,0
145789,20,2,1,M,Married,587.7639519,1
187837,19,1,1,M,Single,653.382622,1
140170,54,34,1,M,Married,198.8889181,0
101602,45,26,1,F,Single,423.4963358,1
184302,31,11,1,F,Single,194.7580825,0
177548,67,47,1,M,Single,372.7635182,1
124942,65,48,1,F,Married,96.36032976,0
119887,48,30,1,M,Single,388.8524692,1
185335,20,3,1,F,Married,553.0150379,1
158234,17,0,1,M,Single,337.170483,1
167992,68,49,1,M,Single,465.1176686,1
160787,18,0,1,M,Single,1037.104939,1
163031,45,25,1,M,Single,478.0213205,1
137168,39,22,1,M,Single,275.4917981,0
157421,53,35,1,F,Married,320.3068082,1
141655,31,12,1,M,Single,482.2712561,1
135049,43,23,1,M,Married,218.4008806,0
190438,27,8,1,M,Single,428.3436991,1
127117,18,0,1,M,Married,509.1766552,1
152524,18,1,1,M,Single,454.8691711,1
140093,22,5,1,M,Married,731.936793,1
108429,23,5,1,M,Single,948.1599283,1
125838,31,14,1,F,Single,242.6541754,0
116996,62,41,1,F,Married,127.554803,0
153887,21,4,1,M,Married,340.0697223,1
170285,63,45,1,M,Married,194.3165171,0
166968,52,34,1,F,Single,513.7114819,1
198776,57,40,1,M,Single,557.8158927,1
109534,67,50,1,F,Married,329.23095,1
173645,21,4,1,M,Single,517.8087863,1
136793,16,0,1,F,Married,246.5317349,0
195150,46,28,1,M,Single,395.3882725,1
109477,19,0,1,F,Single,397.852454,1
107532,60,41,1,M,Married,260.7493276,0
172577,25,6,1,M,Single,966.127914,1
154508,68,48,1,F,Married,254.3947227,0
147473,64,43,1,F,Single,52.41921348,0
111622,51,33,1,M,Married,317.2362189,1
135979,62,44,1,F,Single,269.3517877,0
162623,22,3,1,M,Single,654.294492,1
120108,55,37,1,F,Married,309.2396041,1
189149,43,22,1,F,Single,449.7033597,1
196908,43,26,1,M,Married,326.467776,1
110243,28,8,1,M,Married,404.4041105,1
146508,42,23,1,M,Single,454.5588872,1
144446,51,30,1,F,Single,590.6407796,1
126102,16,0,1,M,Married,278.6843827,0
177621,62,42,1,M,Single,57.5163719,0
193318,29,9,1,F,Single,403.2553677,1
123936,54,37,1,M,Single,941.2388843,1
163020,58,40,1,M,Single,429.506863,1
191540,25,7,1,M,Married,1199.944535,1
188315,43,23,1,M,Single,395.4510456,1
189429,20,1,1,F,Married,388.9897943,1
180455,18,0,1,M,Married,382.1035218,1
156828,24,5,1,F,Married,102.363644,0
131150,18,0,1,M,Single,436.7417282,1
130067,22,3,1,M,Single,306.8513302,1
132375,30,11,1,F,Single,570.5547459,1
181772,29,12,1,F,Single,374.2554735,1
114798,16,0,1,M,Single,880.5423223,1
135519,25,8,1,F,Married,805.5978863,1
141258,40,23,1,M,Single,651.4634054,1
177622,34,16,1,F,Married,429.4072773,1
188721,60,43,1,M,Single,415.7502168,1
127873,23,6,1,F,Single,526.5853106,1
155337,64,44,1,M,Married,324.076563,1
119535,39,21,1,F,Single,441.2336954,1
126897,25,8,1,M,Single,735.046617,1
139882,18,0,1,F,Married,187.5632107,0
149949,60,41,1,F,Single,302.7598559,1
111103,53,36,1,F,Single,636.6652396,1
152990,62,43,1,F,Married,62.94165861,0
121348,60,43,1,F,Single,53.84875132,0
153220,60,40,1,M,Married,205.4665587,0
169953,52,31,1,M,Married,331.6699986,1
142525,65,45,1,F,Single,433.9037761,1
145853,60,42,1,M,Married,41.44745886,0
137938,24,7,1,M,Single,638.3784062,1
147183,20,3,1,F,Single,690.2847547,1
107660,67,50,1,F,Single,186.951001,0
138945,17,0,1,F,Single,257.9940404,0
109762,25,6,1,F,Married,171.1116362,0
128050,60,39,1,M,Single,274.194428,0
106813,33,14,1,F,Single,353.8293525,1
192236,40,20,1,F,Single,398.2783895,1
119963,35,18,1,F,Married,293.7317934,0
132114,33,15,1,M,Single,522.6579568,1
107110,56,36,1,F,Married,603.7338515,1
106565,45,25,1,M,Married,317.9583714,1
149876,24,6,1,M,Married,690.1699369,1
142529,38,17,1,F,Married,332.8659118,1
144356,69,51,1,F,Single,83.64543896,0
105899,70,53,1,M,Single,426.6658746,1
149561,35,14,1,M,Married,587.7592971,1
135024,64,44,1,M,Single,126.9300629,0
145578,44,25,1,F,Married,281.8028525,0
106960,53,36,1,M,Married,241.126041,0
100568,67,48,1,M,Single,190.9903208,0
197807,58,38,1,F,Married,525.1432803,1
154972,43,25,1,M,Single,575.6892982,1
172927,33,16,1,F,Married,546.5523699,1
184311,66,49,1,F,Single,38.46999158,0
168301,61,42,1,M,Married,482.2699173,1
176463,69,51,1,F,Single,45.27574714,0
176637,22,4,1,M,Married,741.4046857,1
193617,62,42,1,M,Single,51.49368116,0
167665,61,41,1,F,Married,308.6526154,1
128924,20,2,1,F,Single,369.2310887,1
143406,30,11,1,M,Single,396.9147809,1
130372,57,37,1,F,Married,351.0954403,1
118439,69,52,1,F,Single,264.9025025,0
168087,17,0,1,M,Married,265.8563455,0
176995,53,36,1,M,Married,139.7488865,0
125583,25,6,1,M,Married,575.4669131,1
178921,28,10,1,F,Single,392.8457469,1
173549,35,18,1,M,Single,444.2241383,1
156187,17,0,1,F,Married,200.343212,0
149871,67,46,1,F,Single,658.0763977,1
110388,49,28,1,M,Married,334.9851495,1
189659,44,24,1,F,Married,556.3332589,1
154849,70,53,1,F,Single,158.83813,0
187153,39,19,1,F,Single,415.8200933,1
195569,40,19,1,F,Married,343.294489,1
183169,32,15,1,M,Single,372.9603759,1
177910,35,18,1,F,Single,404.5501101,1
144185,65,46,1,M,Married,295.5631484,0
145558,32,12,1,M,Married,209.2601387,0
135487,59,40,1,F,Married,310.9230046,1
188425,62,42,1,F,Married,39.59872587,0
116296,24,6,1,M,Married,633.9571627,1
151701,19,2,1,M,Married,524.4730901,1
108550,22,4,1,M,Married,442.9296618,1
108753,36,16,1,F,Married,145.6264409,0
110057,19,2,1,M,Married,230.1150988,0
179805,41,22,1,F,Single,430.5555209,1
170338,68,50,1,M,Married,326.1802691,1
143224,61,42,1,F,Married,236.7089588,0
185030,67,48,1,F,Married,381.9884749,1
114445,57,39,1,F,Single,795.1639064,1
112921,54,35,1,F,Single,434.5258236,1
125285,56,39,1,M,Married,437.3601045,1
129325,23,4,1,F,Single,421.2640345,1
135099,60,43,1,M,Married,63.83158513,0
162956,40,19,1,M,Single,291.3088903,0
152613,26,7,1,M,Single,409.4059691,1
161816,50,31,1,M,Married,358.0054248,1
149004,45,25,1,M,Married,356.5330417,1
127828,62,45,1,F,Married,167.5425068,0
100565,67,50,1,F,Married,249.1075462,0
183297,32,13,1,F,Single,373.6726323,1
186894,42,23,1,M,Single,193.9378831,0
198434,60,40,1,F,Married,327.9731107,1
178913,47,28,1,M,Single,481.06576,1
156248,21,4,1,M,Single,714.8738821,1
125801,45,26,1,M,Single,236.3433438,0
101188,19,2,1,F,Married,233.0418479,0
118927,56,39,1,M,Single,447.6154456,1
128215,66,49,1,F,Married,24.28756977,0
147543,50,33,1,M,Married,408.7089448,1
184217,62,43,1,M,Married,105.5850539,0
163390,62,42,1,F,Married,139.802146,0
195333,19,1,1,M,Single,1129.371234,1
163503,37,20,1,F,Married,173.5817214,0
135042,56,37,1,F,Single,207.8627204,0
141294,67,46,1,M,Married,106.2451549,0
114819,16,0,1,M,Single,433.080861,1
174479,69,48,1,F,Single,219.9773419,0
147750,64,46,1,F,Married,50.40620435,0
123355,20,2,1,F,Married,148.3836732,0
124560,18,0,1,M,Single,716.2810493,1
171030,65,44,1,F,Married,177.3780284,0
143194,24,5,1,M,Married,637.961713,1
160687,27,9,1,F,Married,281.9988866,0
126042,20,1,1,M,Single,644.5098594,1
180397,66,48,1,M,Married,143.4630701,0
179835,24,7,1,F,Married,428.8144302,1
130130,18,0,1,M,Married,216.6488257,0
160133,43,22,1,F,Married,313.0289438,1
143646,46,27,1,F,Single,373.2717697,1
158478,32,13,1,F,Single,675.9475429,1
170881,60,40,1,M,Single,375.2794805,1
163120,35,17,1,M,Married,457.1550705,1
166050,64,44,1,F,Single,115.134362,0
193193,49,31,1,M,Married,508.3393905,1
186952,23,4,1,M,Single,615.2990801,1
143527,35,14,1,F,Single,644.6010832,1
136129,22,3,1,F,Married,711.319749,1
146369,61,42,1,F,Married,31.96379288,0
109864,52,33,1,F,Single,391.2338229,1
100596,28,11,1,M,Married,538.4955542,1
175391,65,47,1,F,Single,122.3285063,0
161677,68,51,1,M,Single,46.76212563,0
115152,57,36,1,M,Single,521.1869239,1
116980,22,3,1,F,Married,379.979143,1
155148,33,13,1,M,Married,345.0914583,1
177493,62,41,1,F,Single,361.8315328,1
118695,20,2,1,F,Married,459.488058,1
154195,45,27,1,M,Married,620.4772924,1
146695,70,49,1,F,Single,364.8126232,1
150643,17,0,1,M,Single,908.9218149,1
176831,56,35,1,M,Single,174.2884032,0
151357,46,25,1,F,Married,306.682273,1
189122,63,43,1,F,Single,422.9930733,1
108588,16,0,1,F,Single,590.7871142,1
170491,22,4,1,F,Married,105.2078607,0
117811,36,19,1,M,Married,244.1962448,0
110745,33,12,1,F,Married,305.6462484,1
134296,38,17,1,F,Single,800.5456109,1
126164,17,0,1,F,Married,283.9100974,0
140934,27,7,1,F,Single,367.1256363,1
107011,36,16,2,M,Married,369.7343028,1
184960,25,8,2,M,Single,845.9031137,1
153192,17,0,2,F,Single,259.7446292,0
197254,61,41,2,F,Single,559.3882097,1
101790,22,3,2,F,Married,362.2390293,1
176854,67,48,2,F,Single,245.5495025,0
124684,55,38,2,M,Single,274.3548628,0
125738,64,47,2,M,Married,155.1176981,0
192290,25,8,2,M,Single,505.2605779,1
141619,58,41,2,F,Single,591.3276195,1
127894,58,40,2,M,Married,357.4228043,1
138348,67,47,2,F,Single,16.47542036,0
173790,31,11,2,F,Married,612.0679151,1
114423,29,12,2,F,Married,306.3115973,1
189584,20,2,2,M,Single,619.4805931,1
150233,61,43,2,F,Married,38.61900356,0
133237,30,10,2,F,Married,328.0235113,1
153885,33,13,2,F,Single,407.0085068,1
169504,20,1,2,F,Single,872.0054822,1
151161,32,15,2,F,Single,256.6548162,0
151160,68,49,2,F,Married,174.5014413,0
163150,48,29,2,F,Married,339.8958901,1
160128,20,1,2,F,Single,731.4175567,1
136602,41,21,2,F,Single,450.7127007,1
180916,63,46,2,F,Married,202.3255141,0
126776,40,22,2,M,Married,391.9146906,1
197494,20,1,2,F,Married,310.703127,1
110723,29,12,2,M,Married,610.0814772,1
142037,60,41,2,F,Married,187.9258968,0
197341,34,13,2,M,Single,769.957755,1
177859,33,13,2,F,Single,471.4780636,1
169518,35,14,2,M,Married,227.0030475,0
115938,20,2,2,F,Married,425.9558647,1
145380,21,4,2,M,Single,1850.996,1
187036,16,0,2,M,Single,942.5701269,1
129872,18,0,2,M,Married,764.4670012,1
134279,63,43,2,F,Married,265.6889909,0
143880,63,42,2,F,Married,22.47577446,0
195382,52,31,2,F,Married,314.2248501,1
119590,52,32,2,F,Married,468.1645654,1
122660,20,1,2,M,Married,452.1823501,1
111341,63,46,2,M,Married,68.13913798,0
116809,25,7,2,M,Married,128.6345383,0
182122,21,4,2,M,Single,1424.841406,1
148158,24,5,2,F,Married,502.240405,1
103769,66,46,2,M,Single,40.97559422,0
185349,20,1,2,M,Single,545.648396,1
136201,43,23,2,F,Married,485.269917,1
142257,39,18,2,F,Single,239.4395729,0
106818,67,46,2,M,Married,425.5115144,1
110271,34,15,2,F,Married,332.3397089,1
144658,69,52,2,F,Married,65.05792786,0
112263,21,2,2,F,Married,540.0722726,1
122503,25,8,2,M,Married,378.9522982,1
135264,20,2,2,M,Single,598.8943012,1
127769,62,45,2,M,Married,233.7861279,0
139191,22,3,2,M,Single,809.5177125,1
188100,67,46,2,M,Married,106.9917583,0
154569,60,41,2,F,Single,38.35399028,0
153152,37,19,2,F,Single,421.4320573,1
195518,47,28,2,F,Married,511.4521387,1
178557,54,37,2,F,Married,338.6143252,1
108627,19,0,2,F,Single,428.2658156,1
144098,34,15,2,F,Single,351.7873354,1
144801,23,5,2,F,Single,301.8903378,1
129573,23,5,2,M,Married,645.5930282,1
199624,25,6,2,M,Single,379.2887008,1
154436,66,49,2,F,Single,195.606033,0
132372,64,45,2,F,Single,406.1312293,1
148013,25,7,2,M,Married,256.904249,0
152047,45,26,2,M,Married,339.879647,1
124808,67,49,2,M,Married,41.79881552,0
150419,40,19,2,M,Married,566.1969736,1
146664,64,44,2,M,Married,87.04182469,0
119755,18,1,2,F,Married,190.9235119,0
166914,65,47,2,F,Married,149.0452224,0
144475,46,29,2,M,Single,399.9512129,1
145800,27,8,2,F,Single,546.6553508,1
101316,17,0,2,F,Married,154.2538357,0
114641,23,5,2,M,Single,863.5322451,1
135117,61,40,2,M,Married,292.5180765,0
133035,31,11,2,F,Married,596.7270258,1
173341,25,8,2,F,Married,308.6550336,1
113320,66,46,2,F,Single,152.4283968,0
144672,70,53,2,M,Single,298.1249602,0
103733,18,0,2,M,Single,675.2350349,1
196256,28,8,2,F,Single,445.0621135,1
138992,63,46,2,F,Single,233.7057014,0
143516,38,19,2,M,Single,216.4373517,0
170048,53,35,2,F,Single,742.6323394,1
131562,18,0,2,F,Married,423.2506965,1
111729,22,3,2,M,Single,1058.035625,1
118576,64,47,2,M,Married,547.8867472,1
188632,60,39,2,F,Married,28.26507244,0
140830,70,53,2,F,Married,67.1244936,0
115960,69,49,2,F,Single,175.4666117,0
190767,66,46,2,F,Single,602.3493797,1
138546,34,13,2,M,Single,409.7559707,1
151193,25,6,2,M,Single,847.9486516,1
197213,35,17,2,F,Single,410.5218487,1
152422,35,18,2,M,Married,143.0972717,0
127446,25,7,2,F,Married,283.5781437,0
158242,23,5,2,F,Single,310.1527237,1
191073,35,16,2,F,Married,508.5575122,1
199120,40,22,2,F,Single,693.2217985,1
108504,61,40,2,M,Married,243.9249822,0
147105,48,30,2,F,Married,590.5028673,1
173527,17,0,2,F,Single,330.4692588,1
137580,17,0,2,F,Married,141.9759881,0
164327,43,22,2,M,Single,474.4684224,1
185238,36,16,2,F,Single,799.3756691,1
153571,30,11,2,M,Single,631.5285866,1
173285,33,16,2,F,Married,256.8330831,0
185733,16,0,2,F,Married,303.3959931,1
157870,47,30,2,M,Married,495.8239471,1
118562,36,16,2,F,Single,296.1230721,0
132312,57,40,2,M,Married,404.6666799,1
101225,17,0,2,M,Married,994.0657896,1
113387,39,21,2,M,Married,373.4394242,1
188979,46,26,2,M,Single,305.075432,1
109139,65,44,2,F,Married,173.4234717,0
116454,68,48,2,M,Single,322.4341027,1
196895,66,46,2,F,Married,278.9371994,0
115217,70,50,2,F,Single,69.30784152,0
164157,38,19,2,F,Married,124.6151363,0
181651,63,42,2,M,Married,82.69181053,0
106721,62,45,2,M,Married,133.6531928,0
158776,17,0,2,F,Married,428.437278,1
193472,19,2,2,F,Married,314.3495085,1
148897,65,46,2,M,Married,318.3560537,1
112905,19,2,2,F,Married,257.6394232,0
142676,36,15,2,F,Married,283.6065702,0
191846,49,32,2,F,Single,653.224712,1
139817,21,4,2,M,Single,619.9056497,1
179210,18,0,2,F,Married,214.155848,0
162009,52,31,2,M,Single,456.8647913,1
182876,52,34,2,F,Married,332.3828307,1
196562,18,0,2,F,Married,312.3798415,1
184138,48,29,2,F,Single,159.3969869,0
138565,19,2,2,F,Married,189.8172756,0
190463,58,39,2,F,Single,426.4276795,1
109388,28,10,2,M,Married,354.2663393,1
196610,62,41,2,M,Single,99.98969209,0
151703,70,52,2,F,Married,116.8177979,0
134228,66,47,2,M,Married,182.1895769,0
181084,61,42,2,M,Single,86.80603022,0
122759,18,0,2,M,Married,586.9042931,1
164108,27,9,2,M,Married,417.445698,1
172581,42,23,2,M,Married,321.4161214,1
102576,67,49,2,M,Single,53.98103733,0
115774,46,26,2,M,Single,692.7240723,1
106416,28,11,2,F,Married,407.7212568,1
108960,25,6,2,M,Single,1096.314301,1
110042,25,8,2,F,Married,279.5721564,0
183467,34,13,2,F,Married,111.3992454,0
112682,20,3,2,M,Single,1078.082268,1
105145,17,0,2,F,Married,430.4902428,1
116190,61,43,2,F,Single,120.6554309,0
105002,30,9,2,F,Single,124.8572518,0
194674,47,27,2,M,Married,710.8321571,1
158771,16,0,2,M,Married,701.2351638,1
172287,51,34,2,M,Single,728.2463712,1
180886,50,29,2,F,Married,579.3465404,1
191329,25,8,2,F,Single,805.5687001,1
147615,65,48,2,M,Single,286.0536902,0
170556,64,45,2,F,Single,82.57091774,0
190637,16,0,2,M,Married,604.7130011,1
171043,61,42,2,F,Married,198.9666197,0
119747,28,7,2,M,Single,183.9996698,0
145231,69,50,2,F,Married,44.81424683,0
185852,36,15,2,M,Single,937.8639927,1
122060,37,20,2,M,Married,619.6989419,1
124587,57,36,2,F,Single,433.1765586,1
143427,64,46,2,F,Married,27.82519769,0
100302,25,8,2,F,Married,244.1245194,0
138062,20,1,2,M,Married,233.4894332,0
116294,17,0,2,F,Single,604.4759269,1
132989,18,0,2,F,Married,161.2216649,0
107969,49,30,2,M,Married,323.7231033,1
103716,33,15,2,F,Married,288.4368473,0
199882,25,7,2,F,Single,313.958467,1
155261,28,8,2,M,Married,724.4201613,1
151388,29,9,2,M,Single,519.1499283,1
154080,61,41,2,M,Single,464.9369759,1
146703,69,51,2,F,Single,37.54144893,0
143131,43,24,2,F,Married,253.4649124,0
188702,69,49,2,M,Married,270.7597922,0
114436,42,25,2,M,Single,442.0249542,1
180278,70,52,2,F,Married,93.57814333,0
139807,24,5,2,M,Single,1397.488209,1
145080,56,38,2,F,Single,430.9502505,1
193119,67,46,2,M,Single,88.0141516,0
154899,66,46,2,F,Single,146.9028197,0
191538,56,38,2,F,Married,333.8694586,1
187619,63,45,2,F,Single,170.6039685,0
102507,42,23,2,F,Married,353.8887175,1
196912,31,12,2,F,Married,534.422954,1
130279,35,14,2,F,Single,383.899652,1
115140,68,47,2,F,Single,319.8246911,1
147888,19,0,2,F,Married,318.7951069,1
193048,24,5,2,F,Single,426.7631092,1
155541,70,49,2,M,Single,49.57439811,0
158380,39,19,2,M,Married,263.9384452,0
153272,58,40,2,F,Married,292.4367434,0
178822,16,0,2,F,Single,451.591187,1
115905,66,49,2,M,Single,173.812546,0
196361,53,33,2,M,Married,410.0488244,1
105776,63,43,2,F,Married,117.5225301,0
145141,55,34,2,F,Married,574.4400041,1
103195,25,7,2,F,Married,346.2476458,1
197623,32,12,2,M,Single,784.2140182,1
106175,58,37,2,F,Married,405.7733647,1
178304,62,43,2,F,Single,285.6495297,0
104261,20,2,2,F,Single,762.7241919,1
160431,40,20,2,F,Single,487.3630135,1
142404,18,0,2,F,Single,877.6314114,1
160858,62,42,2,M,Single,313.4091523,1
153430,38,19,2,F,Single,243.6849608,0
104911,24,5,2,M,Married,321.9312326,1
155702,66,47,2,F,Married,386.8540181,1
164167,67,50,2,M,Single,190.0838598,0
119145,24,7,2,F,Married,357.1767153,1
149802,32,14,2,F,Married,319.3703577,1
157541,19,1,2,F,Married,267.3694438,0
145854,60,43,2,F,Single,196.9877085,0
171691,62,43,2,F,Single,75.38855302,0
193598,57,40,2,M,Married,354.5973766,1
153238,37,16,2,M,Single,799.820527,1
188005,64,44,2,M,Single,559.5341787,1
155661,63,45,2,F,Married,226.0781931,0
123546,22,3,2,F,Single,355.9348674,1
137795,31,14,2,M,Married,249.9909233,0
104431,67,49,2,F,Single,331.1223796,1
168532,60,43,2,F,Married,264.655757,0
112090,22,4,2,F,Married,247.617549,0
165527,35,18,2,M,Single,510.6502619,1
141568,65,48,2,F,Married,323.012883,1
156676,52,35,2,M,Single,924.0729718,1
109065,67,48,2,M,Married,34.37740054,0
147093,17,0,2,M,Single,721.8671019,1
102891,42,23,2,M,Single,1016.827347,1
107600,44,27,2,M,Single,975.5526657,1
121135,23,4,2,M,Single,482.5630144,1
125489,30,13,2,M,Married,386.2883496,1
157608,34,16,2,F,Single,363.5457416,1
194446,55,34,2,F,Married,247.3008553,0
116099,54,35,2,F,Single,349.9708937,1
180357,47,28,2,F,Married,193.0646773,0
198847,31,13,2,F,Single,380.3387109,1
148972,66,47,2,F,Married,81.75370667,0
121667,32,13,2,F,Single,457.0390777,1
143839,60,40,2,M,Single,57.02071414,0
196862,18,1,2,F,Married,398.0487131,1
101915,20,2,2,M,Single,1208.851512,1
118063,25,7,2,M,Married,949.3304039,1
140321,65,46,2,M,Single,30.18541363,0
116478,22,5,2,M,Single,648.0421491,1
142840,54,33,2,M,Single,802.797211,1
124058,62,45,2,F,Married,80.70727476,0
170404,67,50,2,F,Single,257.157292,0
160806,18,1,2,M,Single,1283.713451,1
107678,34,13,2,M,Married,340.8726681,1
135462,56,37,2,F,Married,319.1857115,1
127761,16,0,2,M,Married,1225.158785,1
107695,42,21,2,F,Single,420.7152764,1
139723,70,51,2,F,Married,262.9003887,0
183199,30,9,2,F,Married,229.269854,0
107195,46,28,2,M,Single,405.5666572,1
193260,45,24,2,F,Married,303.3457758,1
128963,18,0,2,F,Single,532.0880332,1
145987,69,50,2,M,Married,677.7201767,1
141887,65,48,2,M,Married,137.2012265,0
142350,18,0,2,F,Married,289.3441822,0
139785,20,3,2,M,Single,1151.197551,1
154128,56,35,2,F,Single,717.0004191,1
135642,55,38,2,M,Married,310.8686668,1
155453,58,38,2,M,Single,906.6119094,1
113378,63,43,2,F,Married,213.1897429,0
164250,42,23,2,F,Married,345.775639,1
111790,38,18,2,F,Married,314.8310797,1
145636,18,1,2,F,Married,178.1916351,0
145235,58,38,2,F,Married,525.3887506,1
186584,69,52,2,F,Single,353.1683465,1
115133,61,42,2,F,Single,227.4842193,0
152171,50,30,2,F,Married,401.3072645,1
126198,22,3,2,M,Single,689.3821702,1
177864,16,0,2,M,Married,159.8900168,0
100866,63,42,2,M,Married,48.95881303,0
167049,63,46,2,M,Married,58.6555409,0
175647,16,0,2,F,Married,501.1084558,1
108783,37,16,2,M,Single,217.9004107,0
184236,54,33,2,M,Single,891.7757371,1
129048,29,9,2,F,Single,529.3161021,1
105890,68,50,2,M,Single,45.39186178,0
177206,37,17,2,M,Single,514.8116374,1
186510,61,42,2,F,Married,623.7921552,1
113602,49,31,2,F,Single,591.3840974,1
110053,24,5,2,F,Single,488.3864875,1
134517,41,23,2,F,Single,652.4612639,1
122620,68,51,2,F,Single,140.6200114,0
174123,66,48,2,F,Single,571.5239264,1
186078,47,30,2,M,Single,435.3769461,1
125020,60,41,2,F,Single,107.6786636,0
178378,40,23,2,F,Single,455.7260968,1
193224,28,9,2,M,Single,510.2597547,1
162011,67,48,2,M,Married,37.44283273,0
119475,33,14,2,M,Married,353.7225604,1
172421,21,3,2,M,Married,807.7350617,1
175175,20,3,2,F,Single,544.9146942,1
158979,22,3,2,M,Single,834.28166,1
144225,59,40,2,F,Single,416.0208561,1
102683,40,20,2,F,Married,494.1563874,1
174357,61,42,2,F,Married,216.8792098,0
190277,19,1,2,M,Married,622.5991221,1
189955,24,5,2,M,Single,724.3322862,1
102630,23,4,2,M,Married,706.1884573,1
155791,49,30,2,M,Single,717.3119185,1
192734,70,53,2,M,Married,550.2256006,1
182000,39,20,2,F,Married,646.6507561,1
161620,46,29,2,M,Married,382.230708,1
134652,64,46,2,F,Married,247.9520139,0
172136,39,20,2,F,Single,366.7958778,1
171346,17,0,2,F,Single,671.1452613,1
125856,68,49,2,M,Married,113.8333117,0
169128,70,52,2,M,Married,215.3720019,0
151678,45,26,2,F,Married,310.6077188,1
101493,57,38,2,F,Married,275.5481922,0
109560,32,11,2,F,Single,381.610363,1
125169,23,4,2,M,Single,1194.817985,1
132645,43,23,2,F,Married,337.2904711,1
190381,60,39,2,M,Single,28.01903018,0
195235,40,21,2,F,Married,319.8772113,1
114307,69,49,2,F,Married,189.0142535,0
117170,70,53,2,F,Single,412.0798292,1
162786,24,6,2,M,Married,432.4344208,1
117501,16,0,2,M,Single,709.9622245,1
100936,37,17,2,F,Single,431.8786997,1
179986,45,26,2,F,Married,327.5076178,1
114822,43,25,2,M,Married,400.4156792,1
164236,29,10,2,F,Single,296.9345562,0
161914,33,13,2,F,Single,707.5019734,1
123564,16,0,2,M,Married,534.6710846,1
144555,37,16,2,F,Married,335.2123869,1
110662,63,46,2,F,Married,107.1457327,0
160746,62,45,2,M,Single,274.3831727,0
119002,23,5,2,M,Married,384.7692913,1
122666,37,20,2,F,Single,432.3490479,1
198225,68,50,2,M,Married,31.07107483,0
185785,68,47,2,M,Married,115.7755309,0
173404,50,30,2,M,Single,750.1423091,1
199104,29,11,2,F,Single,556.4168189,1
178996,41,21,2,F,Married,307.3442838,1
137134,25,7,2,F,Single,197.3667253,0
109058,66,47,2,F,Married,120.3573508,0
187173,64,46,2,M,Single,655.0243856,1
145421,50,31,2,F,Single,147.9677119,0
187822,48,30,2,F,Married,237.1254764,0
198285,54,37,2,M,Married,371.5487931,1
102735,23,6,2,F,Single,701.2232747,1
172073,34,14,2,F,Single,369.5443707,1
173764,21,3,2,M,Single,632.3787533,1
141248,22,5,2,F,Married,493.3039681,1
181081,32,11,2,M,Married,378.6520106,1
101557,23,4,2,F,Married,274.3517512,0
104169,49,30,2,M,Married,377.2664157,1
115335,26,6,2,F,Married,178.0410823,0
160577,25,8,2,M,Single,682.7733509,1
151864,41,20,2,M,Single,433.8180465,1
145726,44,24,2,F,Married,331.9379418,1
112620,64,45,2,M,Married,79.71157625,0
173913,68,49,2,F,Single,18.79131042,0
121865,41,21,2,F,Married,555.4271146,1
142275,50,29,2,F,Married,328.9045926,1
138167,70,51,2,F,Single,288.0876461,0
170137,33,13,2,M,Married,353.0118007,1
161005,61,43,2,M,Single,160.655388,0
142178,22,5,2,F,Single,233.5014361,0
190433,61,43,2,M,Single,433.3229127,1
181088,47,30,2,F,Single,472.9030689,1
156179,18,0,2,M,Married,356.413532,1
158057,43,22,2,F,Married,381.6187691,1
157193,20,1,2,F,Married,389.8397239,1
199197,34,17,2,M,Married,553.0695916,1
166095,23,5,2,F,Single,591.3458088,1
107719,63,46,2,M,Married,89.85484669,0
159545,22,3,2,F,Single,242.903909,0
150931,16,0,2,M,Married,668.7291417,1
190855,19,0,2,M,Married,297.5026953,0
105595,20,2,2,M,Married,1182.802099,1
125873,22,3,2,M,Married,415.0134118,1
134437,22,5,2,M,Married,311.3666598,1
136239,21,4,2,M,Single,753.0137799,1
114814,16,0,2,F,Single,698.8542541,1
165940,69,51,2,F,Married,89.86262965,0
110631,59,39,2,M,Married,401.3888133,1
104417,16,0,2,M,Married,575.1301833,1
119843,25,8,2,F,Married,207.5516057,0
109528,70,51,2,M,Single,381.3348415,1
168567,32,14,2,M,Single,491.9689152,1
100861,22,4,2,F,Single,343.2845714,1
187718,63,42,2,F,Married,73.30751023,0
115407,62,43,2,M,Married,261.5115246,0
159422,28,7,2,M,Single,609.4739476,1
184965,20,1,2,M,Married,379.9197983,1
197902,20,1,2,M,Single,848.0448585,1
103036,35,17,2,F,Single,524.7749293,1
173665,68,49,2,M,Married,290.7900443,0
129628,54,33,2,F,Single,574.6820178,1
166277,53,35,2,F,Single,412.098784,1
119986,60,40,2,M,Single,259.7822074,0
130779,52,31,2,F,Married,303.4051642,1
180338,67,50,2,F,Married,110.4044529,0
138111,19,2,2,F,Single,445.0967115,1
104045,23,6,2,F,Married,653.2742442,1
127784,57,37,2,M,Single,362.3350871,1
137771,20,3,2,F,Single,215.7948489,0
